City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Matagami,CA,2022-04-04 16:54:53,49.7502,-77.6328,32.11,40,0,10.36
68,Atuona,PF,2022-04-04 16:54:53,-9.8,-139.0333,79.45,75,15,23.26
69,Mehamn,NO,2022-04-04 16:53:24,71.0357,27.8492,19.35,73,20,3.44
70,Nikolskoye,RU,2022-04-04 16:52:37,59.7035,30.7861,39.09,71,100,10.56
71,Alofi,NU,2022-04-04 16:54:53,-19.0595,-169.9187,73.29,94,75,4.61
72,Carnarvon,AU,2022-04-04 16:51:08,-24.8667,113.6333,75.27,83,0,14.97
73,Kapaa,US,2022-04-04 16:54:54,22.0752,-159.319,73.11,79,100,1.99
74,Brownwood,US,2022-04-04 16:54:18,31.7093,-98.9912,77.0,60,100,13.8
75,Lebu,CL,2022-04-04 16:52:34,-37.6167,-73.65,58.51,69,11,17.25
76,Albany,US,2022-04-04 16:50:05,42.6001,-73.9662,49.93,50,77,5.99
77,Paamiut,GL,2022-04-04 16:50:09,61.994,-49.6678,33.91,95,100,11.88
78,Valpoi,IN,2022-04-04 16:54:55,15.5305,74.1356,83.77,91,35,0.74
79,Esperance,AU,2022-04-04 16:54:55,-33.8667,121.9,57.04,74,53,15.88
80,Beloha,MG,2022-04-04 16:54:55,-25.1667,45.05,74.26,87,6,13.53
81,Nanzhang,CN,2022-04-04 16:54:56,31.7765,111.8386,61.61,73,100,3.94
82,Ongandjera,NA,2022-04-04 16:54:56,-17.8833,15.0667,79.12,42,52,8.75
83,Guerrero Negro,MX,2022-04-04 16:54:56,27.9769,-114.0611,63.97,60,86,17.45
84,Casma,CL,2022-04-04 16:54:57,-41.0082,-73.1244,56.48,59,76,0.89
85,Kruisfontein,ZA,2022-04-04 16:54:57,-34.0033,24.7314,63.88,83,0,8.39
86,Faanui,PF,2022-04-04 16:52:42,-16.4833,-151.75,81.93,72,100,18.57
87,Yumen,CN,2022-04-04 16:52:34,40.2833,97.2,50.18,19,0,4.65
88,Beyneu,KZ,2022-04-04 16:54:46,45.3167,55.2,56.44,48,100,25.05
89,Tazovskiy,RU,2022-04-04 16:54:57,67.4667,78.7,25.88,95,100,24.11
90,Murray Bridge,AU,2022-04-04 16:54:58,-35.1167,139.2667,53.13,89,0,0.67
91,Nueva Rosita,MX,2022-04-04 16:54:58,27.95,-101.2167,78.37,57,83,5.97
92,Akdepe,TM,2022-04-04 16:54:58,42.0551,59.3788,77.09,15,28,12.3
93,Kodiak,US,2022-04-04 16:54:59,57.79,-152.4072,33.51,63,100,5.17
94,Coihaique,CL,2022-04-04 16:55:59,-45.5752,-72.0662,54.21,93,98,8.57
95,Huaraz,PE,2022-04-04 16:55:59,-9.5333,-77.5333,62.02,61,100,0.94
96,Dudinka,RU,2022-04-04 16:54:13,69.4058,86.1778,9.63,85,64,10.96
97,Lewiston,US,2022-04-04 16:56:00,44.1003,-70.2148,52.86,31,0,18.41
98,Flin Flon,CA,2022-04-04 16:56:00,54.7682,-101.865,33.64,80,75,8.05
99,Mathbaria,BD,2022-04-04 16:56:00,22.2876,89.9593,79.03,80,2,12.5
100,Puyang,CN,2022-04-04 16:56:01,29.4603,119.8861,53.8,74,100,1.16
101,Avarua,CK,2022-04-04 16:56:01,-21.2078,-159.775,71.65,100,99,1.14
102,Fare,PF,2022-04-04 16:52:43,-16.7,-151.0167,82.18,72,99,16.67
103,Atambua,ID,2022-04-04 16:56:02,-9.1061,124.8925,71.67,88,7,3.83
104,Victoria Point,AU,2022-04-04 16:56:02,-27.5833,153.3,68.43,95,8,1.97
105,Saint-Philippe,RE,2022-04-04 16:54:59,-21.3585,55.7679,76.59,86,100,15.23
106,Bima,ID,2022-04-04 16:56:02,-8.4667,118.7167,74.55,92,3,3.31
107,Guadalupe Y Calvo,MX,2022-04-04 16:56:03,26.1,-106.9667,62.8,15,0,12.93
108,Ziarat,PK,2022-04-04 16:56:03,30.3823,67.7282,57.24,13,25,5.37
109,Tiksi,RU,2022-04-04 16:56:03,71.6872,128.8694,-6.5,100,100,5.26
110,Milkovo,RU,2022-04-04 16:56:04,54.7167,158.6167,16.48,83,32,0.74
111,Bubaque,GW,2022-04-04 16:53:19,11.2833,-15.8333,75.83,71,3,21.61
112,Luderitz,NA,2022-04-04 16:56:04,-26.6481,15.1594,62.26,76,0,7.76
113,Havre-Saint-Pierre,CA,2022-04-04 16:54:09,50.2334,-63.5986,32.36,59,0,6.91
114,Meulaboh,ID,2022-04-04 16:56:05,4.1363,96.1285,77.32,86,100,2.84
115,Kahului,US,2022-04-04 16:56:05,20.8947,-156.47,73.85,78,100,14.0
116,Georgetown,MY,2022-04-04 16:56:05,5.4112,100.3354,78.73,93,40,2.3
117,Chuy,UY,2022-04-04 16:53:44,-33.6971,-53.4616,70.41,54,85,9.24
118,Bredasdorp,ZA,2022-04-04 16:56:06,-34.5322,20.0403,65.17,71,3,13.24
119,Ouargaye,BF,2022-04-04 16:56:06,11.5033,0.0572,100.98,21,100,7.74
