City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Cassia,BR,71.15,heavy intensity rain,-20.5831,-46.9219,Hotel Ancora e Restaurante
464,Alta Floresta,BR,76.12,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
469,Macau,MO,70.86,clear sky,22.2006,113.5461,Grand Emperor Hotel
470,Mersing,MY,75.11,overcast clouds,2.4312,103.8405,Timotel Hotel
474,Buraydah,SA,79.25,overcast clouds,26.326,43.975,Mövenpick Qassim
475,Odweyne,SO,75.16,overcast clouds,9.4092,45.064,Eng Hiirey House
476,Ormara,PK,79.66,broken clouds,25.2088,64.6357,Kenara Colony house for Rent
485,Moranbah,AU,74.25,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
488,Dingalan,PH,75.45,broken clouds,15.3897,121.3929,Fil Dane Inn
496,Yenagoa,NG,78.69,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
497,Xai-Xai,MZ,72.86,light rain,-25.0519,33.6442,Complexo da Familia
503,Payson,US,70.59,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
507,Ghanzi,BW,71.87,scattered clouds,-21.5667,21.7833,Ghanzi Farmhouse
513,Biloela,AU,74.7,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
514,Santa Clara,CU,74.59,light rain,22.4,-79.9667,El Carmen
527,Molina,CL,78.53,clear sky,-35.1167,-71.2833,Hostal Pucará
530,Kashan,IR,75.81,overcast clouds,33.9831,51.4364,Manouchehri Traditional House
531,Black River,JM,79.29,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
535,Papar,MY,75.2,overcast clouds,5.7333,115.9333,Koposizon Homestay
537,Cobija,BO,78.98,heavy intensity rain,-11.0267,-68.7692,Hotel Obelisco
538,Mackay,AU,78.67,broken clouds,-21.15,149.2,International Lodge Motel
539,Conceicao Do Araguaia,BR,75.96,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
546,Salinopolis,BR,76.21,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
549,Galesong,ID,73.42,broken clouds,-5.3166,119.3661,Sapriadi Appy
553,Celestun,MX,77.07,overcast clouds,20.8667,-90.4,Posada Lilia
562,Namibe,AO,72.25,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
567,Olavarria,AR,70.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
568,Itaqui,BR,72.03,broken clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
575,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
589,Keti Bandar,PK,79.23,broken clouds,24.1447,67.4497,Haji laloo memon house
590,Santa Isabel Do Rio Negro,BR,78.19,overcast clouds,-0.4139,-65.0192,Hotel GSA
591,Marsh Harbour,BS,74.48,broken clouds,26.5412,-77.0636,Abaco Beach Resort
592,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
594,Kinango,KE,73.94,clear sky,-4.1372,39.3153,Legacy Hotel
596,Cockburn Town,TC,78.35,few clouds,21.4612,-71.1419,Osprey Beach Hotel
599,Vila Do Maio,CV,74.19,few clouds,15.1333,-23.2167,Hotel Marilu
601,Beibei,CN,70.27,overcast clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
608,Kilosa,TZ,70.34,few clouds,-6.8333,36.9833,Hotel Dorice & Daughters
612,Antalaha,MG,75.65,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
624,Tocache,PE,75.43,broken clouds,-8.1842,-76.5125,Hotel Ortiz
626,Gorontalo,ID,74.98,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
629,Lima,PE,70.05,scattered clouds,-12.0432,-77.0282,Hotel Kamana
637,Muisne,EC,78.46,overcast clouds,0.6,-80.0333,Quinta Samay
639,Sambava,MG,76.68,light rain,-14.2667,50.1667,Melrose
644,Cianorte,BR,71.26,overcast clouds,-23.6633,-52.605,Hotel Cianorte Diamond
647,Saint-Paul,RE,78.89,broken clouds,-21.0096,55.2707,Boucan Canot
658,Lobito,AO,75.65,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
665,Pak Phanang,TH,77.88,broken clouds,8.3511,100.202,Green Park Inn Hotel
671,Dawlatabad,AF,70.57,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
672,Martaban,MM,78.13,scattered clouds,16.5314,97.6111,Lu Wa Gyi Guest House
674,Chiang Klang,TH,75.04,broken clouds,19.2938,100.8617,Sangthong Resort
675,Ampanihy,MG,73.27,scattered clouds,-24.7,44.75,Angora Hotel
684,Linhares,BR,73.87,overcast clouds,-19.3911,-40.0722,Hotel Conceição
685,Padre Paraiso,BR,70.86,scattered clouds,-17.0742,-41.4844,Pousada Três Irmãos
