City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,73.56,100,75,0.0,broken clouds
80,Hobart,AU,-42.8794,147.3294,54.05,86,0,5.75,clear sky
81,Ostersund,SE,63.1792,14.6357,28.62,93,100,13.8,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,75.54,90,95,4.14,overcast clouds
83,Thompson,CA,55.7435,-97.8558,32.16,55,75,4.61,broken clouds
84,Maceio,BR,-9.6658,-35.7353,83.66,67,64,8.97,broken clouds
85,Angoche,MZ,-16.2325,39.9086,78.98,75,4,7.67,clear sky
86,Manta,EC,-0.95,-80.7333,80.38,83,40,6.91,scattered clouds
87,Chapais,CA,49.7834,-74.8492,33.58,98,100,11.97,light snow
88,Laguna,US,38.421,-121.4238,77.97,56,0,1.01,clear sky
89,Nizhnevartovsk,RU,60.9344,76.5531,19.42,73,0,11.18,clear sky
90,Gayny,RU,60.3071,54.3241,32.77,95,100,6.33,overcast clouds
91,Dikson,RU,73.5069,80.5464,9.16,94,100,11.83,overcast clouds
92,Punta Arenas,CL,-53.15,-70.9167,44.62,87,75,6.91,broken clouds
93,Pedro Juan Caballero,PY,-22.5472,-55.7333,86.13,46,96,9.17,overcast clouds
94,Bose,IT,45.4612,8.0137,71.19,38,43,1.92,scattered clouds
95,Leningradskiy,RU,69.3833,178.4167,-10.12,93,100,7.72,overcast clouds
96,Inuvik,CA,68.3499,-133.7218,9.37,94,73,4.03,broken clouds
97,Cherskiy,RU,68.75,161.3,-28.41,98,5,3.8,clear sky
98,Giyani,ZA,-23.3025,30.7187,72.81,61,88,11.03,overcast clouds
99,Tabriz,IR,38.08,46.2919,54.86,54,100,13.8,overcast clouds
100,Andenes,NO,69.3143,16.1194,35.58,55,0,18.41,clear sky
101,Gobindapur,IN,22.5931,88.0914,82.35,81,0,13.4,clear sky
102,Kynashiv,UA,48.6705,28.9037,60.1,43,87,12.08,overcast clouds
103,Topeka,US,39.0483,-95.678,43.07,60,75,26.46,broken clouds
104,Ocean City,US,39.2776,-74.5746,61.18,61,15,3.0,few clouds
105,Marfino,RU,55.7028,37.3822,53.74,54,0,11.18,clear sky
106,Avarua,CK,-21.2078,-159.775,80.65,83,40,11.5,scattered clouds
107,Miraflores,MX,19.2167,-98.8083,60.03,45,35,3.69,scattered clouds
108,Nikolskoye,RU,59.7035,30.7861,46.29,94,100,7.9,overcast clouds
109,Kalaiya,NP,27.0327,85.0022,85.84,23,0,5.79,clear sky
110,East London,ZA,-33.0153,27.9116,59.94,94,20,2.3,few clouds
111,San Patricio,US,28.017,-97.5169,76.06,26,0,6.02,clear sky
112,Ternate,ID,0.8,127.4,80.89,79,100,5.48,light rain
113,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,58,0,4.61,clear sky
114,Batemans Bay,AU,-35.7167,150.1833,65.1,92,96,3.53,overcast clouds
115,Goderich,CA,43.7501,-81.7165,39.9,80,98,11.81,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,59.88,75,100,10.94,light rain
117,Katsuura,JP,35.1333,140.3,60.13,74,18,14.12,few clouds
118,Saravan,AM,39.7196,45.6483,43.3,91,100,0.92,overcast clouds
119,Airai,TL,-8.9266,125.4092,58.95,80,93,2.35,overcast clouds
120,Nusaybin,TR,37.0778,41.2178,63.59,59,100,8.75,overcast clouds
121,Mbour,SN,14.422,-16.9638,101.25,22,9,14.25,clear sky
122,Egvekinot,RU,66.3167,-179.1667,-18.8,97,90,5.32,overcast clouds
123,Mataura,NZ,-46.1927,168.8643,48.88,83,100,5.1,overcast clouds
124,Pakdasht,IR,35.4752,51.6807,77.0,17,71,22.7,broken clouds
125,Chokurdakh,RU,70.6333,147.9167,-14.49,95,88,10.76,overcast clouds
126,Tual,ID,-5.6667,132.75,84.16,69,100,8.9,overcast clouds
127,Flagstaff,US,35.1981,-111.6513,60.53,17,0,12.66,clear sky
128,Castro,BR,-24.7911,-50.0119,75.97,71,98,8.03,overcast clouds
129,Rutland,US,43.6167,-73.0162,47.44,93,100,6.91,overcast clouds
130,Leh,IN,34.1667,77.5833,31.71,43,0,5.88,clear sky
131,Koslan,RU,63.4564,48.8989,32.81,95,96,9.17,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,76.55,64,4,8.34,clear sky
133,Yellowknife,CA,62.456,-114.3525,37.42,74,100,8.05,overcast clouds
134,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,91,100,31.38,overcast clouds
135,Sitka,US,57.0531,-135.33,37.29,87,100,4.61,overcast clouds
136,Vao,NC,-22.6667,167.4833,77.95,85,14,26.13,few clouds
137,Pathein,MM,16.7833,94.7333,79.75,80,59,3.15,broken clouds
138,Alexandria,EG,31.2156,29.9553,62.74,76,7,14.43,clear sky
139,Puerto Ayora,EC,-0.7393,-90.3518,82.36,77,30,9.6,scattered clouds
140,Lavrentiya,RU,65.5833,-171.0,-11.7,92,100,2.64,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,74.79,85,78,13.96,light rain
142,Muroto,JP,33.2833,134.15,62.22,70,0,5.61,clear sky
143,Vila Velha,BR,-20.3297,-40.2925,84.15,77,40,11.5,scattered clouds
144,Hermanus,ZA,-34.4187,19.2345,63.81,63,40,22.73,scattered clouds
145,Makakilo City,US,21.3469,-158.0858,73.18,82,71,14.05,broken clouds
146,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,57,16.33,moderate rain
147,Tabory,RU,58.5198,64.5495,33.1,93,100,2.08,overcast clouds
148,Sola,VU,-13.8833,167.55,81.55,77,100,5.08,overcast clouds
149,Atar,MR,20.5169,-13.0499,94.95,8,0,12.21,clear sky
150,Dire,ML,12.2833,-10.9667,109.8,7,0,8.88,clear sky
151,Kandrian,PG,-6.2167,149.55,77.58,89,99,2.21,light rain
152,Zavetnoye,RU,47.1194,43.8903,55.27,70,100,15.97,overcast clouds
153,Muswellbrook,AU,-32.2667,150.9,61.25,97,80,2.95,broken clouds
154,Moroto,UG,2.5345,34.6666,78.78,34,73,17.83,broken clouds
155,Moerai,PF,-22.4333,-151.3333,81.1,74,5,13.35,clear sky
